model_a,model_b,dm_stat,p_value,significant_005,significant_bonf
naive,rolling_mean_22,-8.32804391777356,0.0,True,True
naive,ewma_094,-7.977614062971583,1.5543122344752192e-15,True,True
naive,arima_101,-7.3727394913383115,1.6719958750854857e-13,True,True
naive,garch_11,-16.005326110526767,0.0,True,True
naive,har_rv,-6.106716268891768,1.0170180253510352e-09,True,True
naive,ridge_05,2.522674957199606,0.011646599838261329,True,False
naive,lasso_05,-0.10471903119843874,0.9165987602791772,False,False
naive,knn_05,-8.892524573152635,0.0,True,True
naive,tree_05,-0.25905815358066625,0.7955903714506363,False,False
naive,rf_05,-1.7142004598221905,0.08649191648783283,False,False
naive,svr_05,-32.97640935631108,0.0,True,True
naive,xgb_05,1.6319771880146912,0.10268429188304617,False,False
naive,xgb_grid_08,1.543114138004833,0.12280308500399073,False,False
naive,xgb_random_08,1.5483832158709014,0.1215300597752964,False,False
naive,xgb_optuna_08,2.289401755364549,0.022056020248396146,True,False
naive,xgb_deap_08,1.0675074979176924,0.28574272966728476,False,False
rolling_mean_22,ewma_094,6.210255670515238,5.289846338740745e-10,True,True
rolling_mean_22,arima_101,3.1819787692448527,0.0014627254051509109,True,False
rolling_mean_22,garch_11,-6.953461356726708,3.5642599982566026e-12,True,True
rolling_mean_22,har_rv,5.954041944421603,2.6159971966421836e-09,True,True
rolling_mean_22,ridge_05,10.56363455625087,0.0,True,True
rolling_mean_22,lasso_05,9.260712867547143,0.0,True,True
rolling_mean_22,knn_05,3.4343648302983265,0.0005939442119022864,True,False
rolling_mean_22,tree_05,8.874869183316866,0.0,True,True
rolling_mean_22,rf_05,9.082176280021308,0.0,True,True
rolling_mean_22,svr_05,-29.738978284914037,0.0,True,True
rolling_mean_22,xgb_05,10.189361054728503,0.0,True,True
rolling_mean_22,xgb_grid_08,10.081236420263485,0.0,True,True
rolling_mean_22,xgb_random_08,10.001149610018171,0.0,True,True
rolling_mean_22,xgb_optuna_08,10.465312909233209,0.0,True,True
rolling_mean_22,xgb_deap_08,9.904922681460906,0.0,True,True
ewma_094,arima_101,-0.26556980995809476,0.7905705390371183,False,False
ewma_094,garch_11,-21.726146070103418,0.0,True,True
ewma_094,har_rv,2.2593022671960354,0.023864588988200763,True,False
ewma_094,ridge_05,13.348384609818039,0.0,True,True
ewma_094,lasso_05,10.598097902491311,0.0,True,True
ewma_094,knn_05,-2.6686314103635276,0.007616097885153161,True,False
ewma_094,tree_05,9.415225907619458,0.0,True,True
ewma_094,rf_05,11.08764201150017,0.0,True,True
ewma_094,svr_05,-31.71881965925408,0.0,True,True
ewma_094,xgb_05,12.803434795892947,0.0,True,True
ewma_094,xgb_grid_08,12.483735697619407,0.0,True,True
ewma_094,xgb_random_08,12.47643988672393,0.0,True,True
ewma_094,xgb_optuna_08,13.345385087012142,0.0,True,True
ewma_094,xgb_deap_08,12.030609345833218,0.0,True,True
arima_101,garch_11,-9.355291310698156,0.0,True,True
arima_101,har_rv,4.0267032340334135,5.656434999368187e-05,True,True
arima_101,ridge_05,7.910431936262826,2.6645352591003757e-15,True,True
arima_101,lasso_05,7.284203074781329,3.235189893757706e-13,True,True
arima_101,knn_05,-0.9095103428902772,0.3630808007638171,False,False
arima_101,tree_05,6.8268907037841515,8.677503160470224e-12,True,True
arima_101,rf_05,6.621313562800516,3.560218786446967e-11,True,True
arima_101,svr_05,-31.277821192495697,0.0,True,True
arima_101,xgb_05,7.645500785416014,2.0872192862952943e-14,True,True
arima_101,xgb_grid_08,7.595185734771839,3.064215547965432e-14,True,True
arima_101,xgb_random_08,7.656946705075199,1.9095836023552692e-14,True,True
arima_101,xgb_optuna_08,7.920738219156371,2.4424906541753444e-15,True,True
arima_101,xgb_deap_08,7.325952096136107,2.3714363805993344e-13,True,True
garch_11,har_rv,16.428417281265578,0.0,True,True
garch_11,ridge_05,21.625792680064773,0.0,True,True
garch_11,lasso_05,20.02186354032139,0.0,True,True
garch_11,knn_05,15.010436799975661,0.0,True,True
garch_11,tree_05,19.076880950588897,0.0,True,True
garch_11,rf_05,21.982827379939227,0.0,True,True
garch_11,svr_05,-30.65526030529015,0.0,True,True
garch_11,xgb_05,22.65081366224462,0.0,True,True
garch_11,xgb_grid_08,22.244479058322362,0.0,True,True
garch_11,xgb_random_08,22.306850101194954,0.0,True,True
garch_11,xgb_optuna_08,22.93055381141216,0.0,True,True
garch_11,xgb_deap_08,22.087438768404375,0.0,True,True
har_rv,ridge_05,8.138712846260077,4.440892098500626e-16,True,True
har_rv,lasso_05,6.830769153493507,8.446132682138341e-12,True,True
har_rv,knn_05,-3.562790050536582,0.0003669341332586118,True,True
har_rv,tree_05,6.275262093825337,3.49045903291767e-10,True,True
har_rv,rf_05,6.224656613171452,4.826119504031112e-10,True,True
har_rv,svr_05,-32.023557668997384,0.0,True,True
har_rv,xgb_05,7.918274464546342,2.4424906541753444e-15,True,True
har_rv,xgb_grid_08,7.7917370618487345,6.661338147750939e-15,True,True
har_rv,xgb_random_08,7.856550564903183,3.9968028886505635e-15,True,True
har_rv,xgb_optuna_08,8.34667061796549,0.0,True,True
har_rv,xgb_deap_08,7.486759876107412,7.061018436615996e-14,True,True
ridge_05,lasso_05,-4.831592903911364,1.354449886470377e-06,True,True
ridge_05,knn_05,-14.996575147779145,0.0,True,True
ridge_05,tree_05,-3.1440382753393776,0.0016663364306828132,True,False
ridge_05,rf_05,-7.518970535673758,5.5289106626332796e-14,True,True
ridge_05,svr_05,-33.55793005833001,0.0,True,True
ridge_05,xgb_05,-1.3303963955073,0.18338770155948736,False,False
ridge_05,xgb_grid_08,-1.4109971331259215,0.1582454593508389,False,False
ridge_05,xgb_random_08,-1.6617103371119548,0.09657086748051946,False,False
ridge_05,xgb_optuna_08,0.28348121036169105,0.7768079831382344,False,False
ridge_05,xgb_deap_08,-2.1489552648831833,0.0316379462819365,True,False
lasso_05,knn_05,-12.163952011547783,0.0,True,True
lasso_05,tree_05,-0.283225130427183,0.7770042654080194,False,False
lasso_05,rf_05,-3.669002222669949,0.00024349896248732072,True,True
lasso_05,svr_05,-33.33864364355974,0.0,True,True
lasso_05,xgb_05,3.2490695482673586,0.001157831661599662,True,False
lasso_05,xgb_grid_08,3.0071435755801765,0.002637151764711687,True,False
lasso_05,xgb_random_08,3.2262688089651665,0.0012541550753288888,True,False
lasso_05,xgb_optuna_08,4.363492065230605,1.280025855643352e-05,True,True
lasso_05,xgb_deap_08,2.018867241995243,0.0435010198034953,True,False
knn_05,tree_05,11.482075157453997,0.0,True,True
knn_05,rf_05,13.491514603207348,0.0,True,True
knn_05,svr_05,-32.68616037161963,0.0,True,True
knn_05,xgb_05,15.728378666332118,0.0,True,True
knn_05,xgb_grid_08,15.293786308660554,0.0,True,True
knn_05,xgb_random_08,15.210582522951265,0.0,True,True
knn_05,xgb_optuna_08,16.275845165365173,0.0,True,True
knn_05,xgb_deap_08,15.19084086114575,0.0,True,True
tree_05,rf_05,-2.1507497444705255,0.0314959577103211,True,False
tree_05,svr_05,-33.49588520193739,0.0,True,True
tree_05,xgb_05,3.425501015090543,0.0006136666409801705,True,False
tree_05,xgb_grid_08,3.28188351700202,0.00103116192290309,True,False
tree_05,xgb_random_08,3.2868289144367715,0.0010132237078437356,True,False
tree_05,xgb_optuna_08,4.1613513378824685,3.16369919257653e-05,True,True
tree_05,xgb_deap_08,2.147877489016138,0.03172348911074763,True,False
rf_05,svr_05,-33.41893005062583,0.0,True,True
rf_05,xgb_05,8.599495852749502,0.0,True,True
rf_05,xgb_grid_08,7.741241626339026,9.769962616701378e-15,True,True
rf_05,xgb_random_08,8.798066143613227,0.0,True,True
rf_05,xgb_optuna_08,9.407714397110881,0.0,True,True
rf_05,xgb_deap_08,6.105198223018892,1.0267318106826906e-09,True,True
svr_05,xgb_05,33.82237562856625,0.0,True,True
svr_05,xgb_grid_08,33.83493680941052,0.0,True,True
svr_05,xgb_random_08,33.81462855190265,0.0,True,True
svr_05,xgb_optuna_08,33.876988675781625,0.0,True,True
svr_05,xgb_deap_08,33.78583128076225,0.0,True,True
xgb_05,xgb_grid_08,-0.6323149112214785,0.5271811218652724,False,False
xgb_05,xgb_random_08,-1.1853404172337902,0.23588287933631347,False,False
xgb_05,xgb_optuna_08,4.729601098883103,2.2496140914540774e-06,True,True
xgb_05,xgb_deap_08,-2.130013931541417,0.033170463209299506,True,False
xgb_grid_08,xgb_random_08,-0.28136378346467017,0.7784313931228515,False,False
xgb_grid_08,xgb_optuna_08,3.693514260389816,0.00022117610083305372,True,True
xgb_grid_08,xgb_deap_08,-1.5710987701057517,0.11615970825323618,False,False
xgb_random_08,xgb_optuna_08,4.7750270131857055,1.7968313330563035e-06,True,True
xgb_random_08,xgb_deap_08,-1.2901903633111131,0.19698457121754398,False,False
xgb_optuna_08,xgb_deap_08,-5.438734599446326,5.366031885500888e-08,True,True
